brand,platform,post_date,post_type,content_theme,collaboration,content_pillar,sku,content_mix_funnel,post_url,likes,comments,shares,saves,views
Jose Cuervo,Instagram,2026-02-01,Reel,,Collective,The Craft,,Entertain,https://www.instagram.com/p/DUOaVCUADmg/,,7,,1,11300.0
Jose Cuervo,Instagram,2026-01-31,Reel,Brand Heritage / Culture,Cuervo,The Craft,,Educate,https://www.instagram.com/reel/DULp4hkguTr/,51.0,1,7.0,2,1868.0
Jose Cuervo,Instagram,2026-01-29,Carousel,Brand Heritage / Culture,Cuervo,The Craft,,Edutain,https://www.instagram.com/p/DUG6nyAEtK6/,40.0,2,0.0,0,
Jose Cuervo,Instagram,2026-01-23,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DT3gW5GDJ0M/,104.0,10,13.0,5,
Jose Cuervo,Instagram,2026-01-21,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DTySNC9EY-K/,56.0,0,3.0,2,
Jose Cuervo,Instagram,2026-01-19,Carousel,Product/Lifestyle,Cuervo,The Craft,,Entertain,https://www.instagram.com/p/DTs_lHvDs3t/,58.0,2,0.0,2,
Jose Cuervo,Instagram,2026-01-17,Static Image,Brand Heritage / Culture,Cuervo,The Craft,,Edutain,https://www.instagram.com/p/DTmWosKjcua/,38.0,1,0.0,1,
Jose Cuervo,Instagram,2026-01-15,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DTi6H46jkY4/,50.0,0,3.0,2,
Jose Cuervo,Instagram,2026-01-09,Carousel,Event/Activation,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DTTcjDZD1ha/,61.0,3,1.0,3,
Jose Cuervo,Instagram,2026-01-07,Carousel,Cocktail Highlights,Cuervo,The Craft,,Educate,https://www.instagram.com/p/DTOBGq4j7_i/,107.0,7,19.0,2,
Jose Cuervo,Instagram,2026-01-05,Carousel,Cultural Moment/Holiday,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DTI29LUDAwz/,59.0,6,1.0,3,
Jose Cuervo,Instagram,2025-12-31,Reel,Collective,Collective,The Pulse,,Entertain,https://www.instagram.com/reel/DS8N2sYEmAP/,86.0,7,6.0,3,6136.0
Jose Cuervo,Instagram,2025-12-30,Carousel,Collective,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DS5X59LD4Gc/,51.0,1,3.0,2,
Jose Cuervo,Instagram,2025-12-29,Carousel,Collective,Collective,The Pulse,,Entertain,https://www.instagram.com/p/DS2zJ0-Dnig/,370.0,12,11.0,3,
Jose Cuervo,Instagram,2025-12-27,Reel,,Collective,The Pulse,,Entertain,https://www.instagram.com/p/DSyHV4SkmkO/,411.0,83,34.0,22,11400.0
Jose Cuervo,Instagram,2025-12-25,Static Image,Cocktail Highlights,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DSszzZWDag9/,44.0,0,0.0,1,
Jose Cuervo,Instagram,2025-12-24,Static Image,Product/Lifestyle,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DSpquqtje_h/,32.0,2,2.0,1,
Jose Cuervo,Instagram,2025-12-22,Reel,Cultural Moment/Holiday,Collective,The Pulse,,Entertain,https://www.instagram.com/p/DSlCeeaEe0P/,149.0,13,3.0,2,4600.0
Jose Cuervo,Instagram,2025-12-22,Static Image,,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DSkybafCeDC/,50.0,0,0.0,2,
Jose Cuervo,Instagram,2025-12-22,Reel,,Influencer,The Pulse,,Educate,https://www.instagram.com/p/DSkjyNfgguc/,183.0,50,16.0,6,32600.0
Jose Cuervo,Instagram,2025-12-19,Carousel,Cocktail Highlights,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DSdbMADlF9l/,25.0,2,0.0,0,
Jose Cuervo,Instagram,2025-12-19,Reel,,Influencer,The Pulse,,Entertain,https://www.instagram.com/p/DSdUXh2kmJD/,173.0,47,48.0,11,7200.0
Jose Cuervo,Instagram,2025-12-18,Reel,,Influencer,The Pulse,,Entertain,https://www.instagram.com/p/DSa1r9Vj8sv/,3242.0,17,46.0,6,127000.0
Jose Cuervo,Instagram,2025-12-17,Reel,Cocktail Highlights,Collective,The Pulse,,Educate,https://www.instagram.com/reel/DSYKtZtDy9s/,270.0,17,8.0,10,9826.0
Jose Cuervo,Instagram,2025-12-17,Reel,,Influencer,The Pulse,,Entertain,https://www.instagram.com/p/DSYJd8ciRa-/,238.0,41,17.0,5,17700.0
Jose Cuervo,Instagram,2025-12-15,Static Image,Cultural Moment/Holiday,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DSS3CVWjCPk/,63.0,0,8.0,4,
Jose Cuervo,Instagram,2025-12-12,Reel,,Influencer,The Pulse,,Entertain,https://www.instagram.com/p/DSLYPvskVfg/,758.0,12,60.0,3,26400.0
Jose Cuervo,Instagram,2025-12-11,Static Image,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DSIjgzADSgl/,40.0,2,1.0,0,
Jose Cuervo,Instagram,2025-12-05,Reel,Cocktail Highlights,Cuervo,The Pulse,,Entertain,https://www.instagram.com/reel/DR5U065DzA6/,38.0,0,1.0,0,1586.0
Jose Cuervo,Instagram,2025-12-03,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DRz6VDKE4H5/,74.0,7,0.0,2,
Jose Cuervo,Instagram,2025-12-02,Reel,,Collective,The Pulse,,Entertain,https://www.instagram.com/p/DRxcC5nEl1m/,93.0,4,4.0,0,5200.0
Jose Cuervo,Instagram,2025-12-01,Reel,Collective,Collective,The Pulse,,Entertain,https://www.instagram.com/reel/DRuxwPXESv7/,223.0,23,6.0,3,9411.0
Jose Cuervo,Instagram,2025-11-28,Reel,Giveaway/Promo,Cuervo,The Front Row,,Convince,https://www.instagram.com/reel/DRnT1YVj-0L/,65.0,27,23.0,5,23987.0
Jose Cuervo,Instagram,2025-11-27,Reel,Collective,Cuervo,The Pulse,,Entertain,https://www.instagram.com/reel/DRj0WKFke24/,85.0,6,7.0,2,4008.0
Jose Cuervo,Instagram,2025-11-26,Reel,Collective,Cuervo,The Pulse,,Educate,https://www.instagram.com/reel/DRh6bc2D0LZ/,35.0,2,3.0,0,1970.0
Jose Cuervo,Instagram,2025-11-24,Carousel,,Collective,The Pulse,,Entertain,https://www.instagram.com/p/DRckpihgP_J/?img_index=1,658.0,14,18.0,3,
Jose Cuervo,Instagram,2025-11-20,Carousel,,Collective,The Ritual,,Entertain,https://www.instagram.com/p/DRSZmg3kT64/?img_index=1,200.0,12,5.0,1,
Jose Cuervo,Instagram,2025-11-18,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DRNJaOwDVoS/,83.0,5,2.0,2,
Jose Cuervo,Instagram,2025-11-16,Carousel,Cocktail Highlights,Cuervo,The Pulse,,Educate,https://www.instagram.com/p/DRIZhwMD0hv/,39.0,2,2.0,2,
Jose Cuervo,Instagram,2025-11-14,Carousel,Brand Heritage / Culture,Cuervo,The Craft,,Educate,https://www.instagram.com/p/DRCpzvLDnov/,64.0,6,1.0,3,
Jose Cuervo,Instagram,2025-11-12,Reel,Cocktail Highlights,Partner,The Craft,,Educate,https://www.instagram.com/reel/DQ-CUcbk2QU/,121.0,10,20.0,6,4408.0
Jose Cuervo,Instagram,2025-11-12,Carousel,Cocktail Highlights,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DQ95KVFFxUI/,57.0,1,0.0,1,
Jose Cuervo,Instagram,2025-11-10,Carousel,Collective,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DQ5bjpPDP74/,161.0,17,8.0,1,
Jose Cuervo,Instagram,2025-11-07,Reel,Cocktail Highlights,Cuervo,The Front Row,,Convince,https://www.instagram.com/reel/DQxHhgZj80K/,54.0,42,17.0,1,28314.0
Jose Cuervo,Instagram,2025-11-06,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DQuI1IzDmbx/,76.0,3,9.0,3,
Jose Cuervo,Instagram,2025-11-01,Carousel,Product/Lifestyle,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DQiW5vdjUdH/,118.0,5,31.0,5,
Jose Cuervo,Instagram,2025-10-31,Carousel,Cocktail Highlights,Cuervo,The Pulse,,Entertain,https://www.instagram.com/p/DQel4X-DtRP/,100.0,4,8.0,5,
Jose Cuervo,Instagram,2025-10-30,Carousel,Collective,Collective,The Pulse,,Entertain,https://www.instagram.com/p/DQcEv2TDLHW/,374.0,17,22.0,7,
Jose Cuervo,Instagram,2025-10-28,Carousel,Collective,Collective,The Ritual,,Entertain,https://www.instagram.com/p/DQW2RJhjggV/,310.0,28,13.0,3,
Jose Cuervo,Instagram,2025-10-23,Reel,Collective,Collective,The Ritual,,Entertain,https://www.instagram.com/reel/DQKl9chDz2E/,164.0,22,21.0,4,5190.0
Jose Cuervo,Instagram,2025-10-20,Reel,Cocktail Highlights,Cuervo,The Craft,,Edutain,https://www.instagram.com/reel/DQC1SVCEa1S/,83.0,2,13.0,5,3567.0
Jose Cuervo,Instagram,2025-10-20,Reel,Giveaway/Promo,Cuervo,The Front Row,,Convince,https://www.instagram.com/reel/DQCLq2ajr-i/,74.0,32,25.0,7,4689.0
Jose Cuervo,Instagram,2025-10-18,Reel,Cocktail Highlights,Cuervo,The Craft,,Entertain,https://www.instagram.com/reel/DP-IFN0Elnp/,69.0,3,4.0,5,2463.0
Jose Cuervo,Instagram,2025-10-16,Carousel,Cocktail Highlights,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DP4EbZsD164/,117.0,4,7.0,4,
Jose Cuervo,Instagram,2025-10-14,Reel,Cocktail Highlights,Cuervo,The Craft,,Entertain,https://www.instagram.com/reel/DPzDWXJk6Mj/,77.0,4,6.0,8,11036.0
Jose Cuervo,Instagram,2025-10-11,Reel,Cocktail Highlights,Collective,The Ritual,,Edutain,https://www.instagram.com/reel/DPrGASqAgde/,235.0,59,33.0,8,7444.0
Jose Cuervo,Instagram,2025-10-09,Reel,,Influencer,The Front Row,,Entertain,https://www.instagram.com/p/DPmGqSVjhYk/,8436.0,66,689.0,68,
Jose Cuervo,Instagram,2025-10-08,Reel,Event/Activation,Partner,The Craft,,Entertain,https://www.instagram.com/reel/DPjYRnjiQpc/,89.0,6,9.0,4,3775.0
Jose Cuervo,Instagram,2025-10-07,Reel,Product/Lifestyle,Cuervo,The Pulse,,Entertain,https://www.instagram.com/reel/DPhfVlLjzrP/,70.0,10,6.0,4,2864.0
Jose Cuervo,Instagram,2025-10-06,Carousel,Event/Activation,Cuervo,The Ritual,,Entertain,https://www.instagram.com/p/DPev6KWE3d1/,85.0,0,5.0,4,
Jose Cuervo,Instagram,2025-10-04,Reel,Event/Activation,Cuervo,The Craft,,Entertain,https://www.instagram.com/reel/DPaE1uRChbB/,71.0,5,9.0,3,3146.0
Jose Cuervo,Instagram,2025-10-02,Carousel,Event/Activation,Cuervo,The Craft,,Educate,https://www.instagram.com/p/DPT-fmEDQuO/,86.0,3,3.0,2,
